transaction_id,line_id,store_id,register_id,item_id,transaction_ts,business_date,quantity,unit_price_cents,discount_cents,tax_rate_bps,extended_cents,net_cents,tax_cents,line_total_cents
0054fbea-5e1e-4145-9d09-100e47afbd80,085ab3a4-d870-4195-8a97-3fac0329adb8,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,,2026-04-22 00:57:06.650443,2026-04-22,4,1195,0,0,4780,4780,0,4780
0054fbea-5e1e-4145-9d09-100e47afbd80,15af1e13-42d6-4b06-a6b9-f25d6f01c62d,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,f40dd78f-0139-4c8c-8c47-f5dcf64ceda0,2026-04-20 23:35:08.650443,2026-04-20,2,973,0,585,1946,1946,228,2060
0054fbea-5e1e-4145-9d09-100e47afbd80,4093e48f-169b-4282-802a-ffc1757b9479,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,1a6e35a1-3a2c-45cd-b86a-a462977aa13e,2026-04-21 05:04:45.650443,2026-04-21,6,732,0,811,2196,2196,178,2374
0054fbea-5e1e-4145-9d09-100e47afbd80,69608ccc-75ef-4ecb-b8f3-c5e3addffc26,,7164c585-2317-4553-8abf-2f286a05d2f3,d2746957-8faa-484f-9dd7-68f5068dd40e,2026-04-22 00:51:25.650443,2026-04-22,1,1405,304,0,1405,1101,0,1101
0054fbea-5e1e-4145-9d09-100e47afbd80,7f0d2dc5-4eda-42ad-b1fd-9010a3209ee4,,7164c585-2317-4553-8abf-2f286a05d2f3,d5cecaaa-372b-4f8d-bc1e-18c631df91f0,2026-04-21 22:55:45.650443,2026-04-21,5,1195,0,0,5975,5975,0,5975
0054fbea-5e1e-4145-9d09-100e47afbd80,8e53af87-5eb7-4f9d-b19a-b347581d4b16,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,b27e3a25-9529-474b-95eb-6e6f2ce11ff0,2026-04-21 21:13:08.650443,2026-04-21,8,1286,0,0,10288,10288,0,10288
0054fbea-5e1e-4145-9d09-100e47afbd80,91ea6451-b3b8-42ef-959d-3865d199a6fb,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,af7db0ae-05ba-4e7d-8781-88ad318cc07f,2026-04-21 13:31:14.650443,2026-04-21,4,696,0,0,2784,2784,0,2784
0054fbea-5e1e-4145-9d09-100e47afbd80,b55995f3-aa88-4705-8825-7c708dd13413,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,0c0866eb-3b5f-4adf-a2f5-91e6abb006e3,2026-04-22 07:07:25.650443,2026-04-22,3,1347,0,0,4041,4041,0,4041
0054fbea-5e1e-4145-9d09-100e47afbd80,df432863-87c4-4dd0-ad83-fb11f92322b2,6a9c33e5-992b-4105-ae18-9cc91f0a2453,7164c585-2317-4553-8abf-2f286a05d2f3,,2026-04-21 15:46:56.650443,2026-04-21,4,973,0,732,3892,3892,285,4177
017984da-eed0-451c-9f61-6251f84ccd8d,073d4461-d140-494a-9e5f-fbf55c4c9b50,6a9c33e5-992b-4105-ae18-9cc91f0a2453,6c9224d3-a291-43e5-a438-bab9da89b620,885b8b41-1a09-4a1f-b297-fbc91493040e,2026-04-22 10:13:23.650443,2026-04-22,4,1433,0,849,5732,5732,487,6219
017984da-eed0-451c-9f61-6251f84ccd8d,100313be-8e45-48d9-a104-8835680d2710,,6c9224d3-a291-43e5-a438-bab9da89b620,5d053c8c-6309-47fc-b52f-ef7598d2da7f,2026-04-21 13:03:11.650443,2026-04-21,2,1265,0,801,2530,2530,203,5466
017984da-eed0-451c-9f61-6251f84ccd8d,317f6c83-6f24-41c2-9a80-673dd2e6e246,,6c9224d3-a291-43e5-a438-bab9da89b620,,2026-04-21 14:53:41.650443,2026-04-21,4,421,218,0,1684,1466,0,1466
017984da-eed0-451c-9f61-6251f84ccd8d,3b7f5379-3577-4b61-9541-235a8aaed642,6a9c33e5-992b-4105-ae18-9cc91f0a2453,6c9224d3-a291-43e5-a438-bab9da89b620,a50e1738-4940-43de-a9be-39bea4519c94,2026-04-21 06:00:56.650443,2026-04-21,2,1046,0,0,2092,2092,0,2092
017984da-eed0-451c-9f61-6251f84ccd8d,a9fc6e95-4394-4154-aeec-8ae05349adc1,6a9c33e5-992b-4105-ae18-9cc91f0a2453,6c9224d3-a291-43e5-a438-bab9da89b620,f40dd78f-0139-4c8c-8c47-f5dcf64ceda0,2026-04-22 05:14:04.650443,2026-04-22,1,973,0,654,973,973,64,1037
017984da-eed0-451c-9f61-6251f84ccd8d,b1f4a3d4-e050-4413-8179-e01c9eb4f52b,6a9c33e5-992b-4105-ae18-9cc91f0a2453,,13c8d59b-e07c-4aa2-af13-d0f954204d09,2026-04-22 18:12:50.650443,2026-04-22,2,1143,0,0,2286,2286,0,2286
017984da-eed0-451c-9f61-6251f84ccd8d,,6a9c33e5-992b-4105-ae18-9cc91f0a2453,6c9224d3-a291-43e5-a438-bab9da89b620,b27e3a25-9529-474b-95eb-6e6f2ce11ff0,2026-04-20 22:25:58.650443,2026-04-20,3,1286,0,0,3858,3858,0,3858
017984da-eed0-451c-9f61-6251f84ccd8d,e2277993-fef5-4d89-8a70-2e169246efe2,,6c9224d3-a291-43e5-a438-bab9da89b620,bceaeb63-2152-4913-80c3-952faca9d871,2026-04-22 02:53:16.650443,2026-04-22,4,321,0,833,1284,1284,107,1391
