transaction_id,line_id,store_id,register_id,item_id,payment_type,transaction_ts,business_date,quantity,unit_price_cents,discount_cents,tax_rate_bps,extended_cents,net_cents,tax_cents,line_total_cents
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,1003dc1e-cb64-4e88-a2eb-a0a57dd0e0f1,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,9eb6d333-11cd-4871-a596-2301b5f9b112,mobile_wallet,2026-04-21 04:40:12.658227,2026-04-21,1,1195,0,0,1195,1195,0,1195
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,790c03ee-2418-4b77-abed-9cd89532ce36,65b28373-5126-4a48-b592-7a0bb2ad4f83,,489d1516-92d5-47cd-84a7-c018a2bfcbab,mobile_wallet,2026-04-21 16:28:56.658227,2026-04-21,3,1347,0,0,4041,4041,0,4041
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,79317597-fd7a-4ce0-8d61-70208792ee67,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,f4f02b9c-ef5c-4bb4-a44f-91e94574df5e,mobile_wallet,2026-04-22 17:45:45.658227,2026-04-22,2,921,0,0,1842,1842,0,1842
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,81caaa4a-93bf-4429-b3d5-ba7d9bdb51a5,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,51e26a45-4f98-49e8-bb25-ba991c857ce5,mobile_wallet,2026-04-22 07:46:28.658227,2026-04-22,7,1179,2442,10659,8253,5811,386,6197
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,81ffe909-8475-415b-a70b-ec81e5cccec4,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,3e7f98b7-613c-48bb-9161-27abf0e0b613,mobile_wallet,2026-04-21 08:05:59.658227,2026-04-21,1,1405,0,0,1405,1405,0,1405
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,7a50ecd7-ea3a-4006-a1b4-4c9a8bf5d5c2,mobile_wallet,2026-04-22 00:27:03.658227,2026-04-22,2,1265,0,819,2530,2530,207,2737
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,c3702ed9-e225-40ec-b2ae-e7771e124485,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,489d1516-92d5-47cd-84a7-c018a2bfcbab,mobile_wallet,2026-04-22 09:17:20.658227,2026-04-22,2,1347,0,0,2694,2694,0,2694
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,ce25726a-af80-422c-900f-8cd8777b563c,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,4bf90cda-259d-4221-9313-7f3828c6d8c0,mobile_wallet,2026-04-22 12:25:23.658227,2026-04-22,4,63039,747,855,5324,4574,391,4968
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,d0c6222a-41d9-44ee-b906-be28fdbc02ef,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,9eb6d333-11cd-4871-a596-2301b5f9b112,mobile_wallet,2026-04-21 21:23:24.658227,2026-04-21,2,1195,0,0,4780,2390,0,2390
0078cd14-3ef9-4596-b546-1b4b8ee99cc8,ee7164d1-ee20-4205-8ad0-c061c2ec5235,65b28373-5126-4a48-b592-7a0bb2ad4f83,9402460f-8c9a-477a-b8ad-294b7cd53e54,0747055b-6a2b-414c-a1cb-49e061bea45a,mOBile_wAlleT,2026-04-21 05:33:49.658227,2026-04-21,1,1143,251,0,1143,897,0,895
00dc9813-92f1-45b5-aff4-f2e059767060,184e23c0-a2cd-4e5a-8f3e-457d188eb860,65b28373-5126-4a48-b592-7a0bb2ad4f83,44d13623-2cf0-4230-8757-741408847be4,b8783f34-e8a7-498e-8854-77ff1801eab4,debit,2026-04-22 07:37:34.658227,2026-04-23,1,879,0,0,879,879,0,879
00dc9813-92f1-45b5-aff4-f2e059767060,2c5388b7-0906-42b0-aabb-57c0d958f974,65b28373-5126-4a48-b592-7a0bb2ad4f83,44d13623-2cf0-4230-8757-741408847be4,7c640598-18bf-49d4-977f-5be4d4ffcea4,,2026-04-21 08:31:26.658227,2026-04-21,1,986,-1,0,986,986,0,986
00dc9813-92f1-45b5-aff4-f2e059767060,33c66f18-7b33-4152-a420-719ce88d0f44,65b28373-5126-4a48-b592-7a0bb2ad4f83,44d13623-2cf0-4230-8757-741408847be4,f4f02b9c-ef5c-4bb4-a44f-91e94574df5e,debit,2026-04-21 21:29:17.658227,2026-04-21,2,921,0,0,1842,1842,0,1842
00dc9813-92f1-45b5-aff4-f2e059767060,5b6a09a2-6d9d-4d83-a0bf-e4cb6bdb508b,65b28373-5126-4a48-b592-7a0bb2ad4f83,44d13623-2cf0-4230-8757-741408847be4,,,2026-04-22 13:45:19.658227,2026-04-22,3,1286,0,0,3858,3858,0,3858
,68a8f2bd-c109-4bd0-8eea-0c5657e449f0,65b28373-5126-4a48-b592-7a0bb2ad4f83,44d13623-2cf0-4230-8757-741408847be4,3e7f98b7-613c-48bb-9161-27abf0e0b613,Debit,2026-04-22 16:03:44.658227,2026-04-22,1,1405,0,0,1405,1405,0,1405
